City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Touros,BR,-5.1989,-35.4608,88.7,62,8,15.08,clear sky
1,Cidreira,BR,-30.1811,-50.2056,75.33,71,6,9.69,clear sky
2,Hilo,US,19.7297,-155.09,75.27,48,75,4.61,broken clouds
3,Atuona,PF,-9.8,-139.0333,78.67,78,30,18.86,scattered clouds
4,Cape Town,ZA,-33.9258,18.4232,68.34,73,100,3.0,overcast clouds
5,Khatanga,RU,71.9667,102.5,-51.61,100,78,1.68,broken clouds
6,Saint-Joseph,RE,-21.3667,55.6167,77.38,78,90,14.41,light rain
7,Upernavik,GL,72.7868,-56.1549,6.28,92,100,10.31,overcast clouds
8,Eidfjord,NO,60.4675,7.0719,32.43,95,100,3.06,overcast clouds
9,Hobart,AU,-42.8794,147.3294,51.26,85,5,1.01,clear sky
10,Vanavara,RU,60.34,102.2797,-31.27,99,45,3.83,scattered clouds
11,Vaini,TO,-21.2,-175.2,75.36,94,75,6.91,light rain
12,Nalut,LY,30.3333,10.85,48.92,41,2,8.32,clear sky
13,Tiksi,RU,71.6872,128.8694,-21.66,100,95,1.39,overcast clouds
14,Bone,DE,51.9669,12.1396,40.82,96,100,6.96,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,46.06,71,75,29.93,light rain
16,Nikolskoye,RU,59.7035,30.7861,23.4,97,98,5.64,light snow
17,Busselton,AU,-33.65,115.3333,52.05,72,69,10.38,broken clouds
18,Mataura,NZ,-46.1927,168.8643,47.48,94,82,1.03,broken clouds
19,Homer,US,59.6425,-151.5483,13.87,82,1,4.61,clear sky
20,Seymchan,RU,62.8833,152.4333,-15.63,98,100,4.41,light snow
21,Carnarvon,AU,-24.8667,113.6333,69.87,78,75,21.85,broken clouds
22,Cayenne,GF,4.9333,-52.3333,78.84,89,75,3.0,broken clouds
23,Asau,RO,46.4333,26.4,40.95,83,100,3.0,light rain
24,Salalah,OM,17.0151,54.0924,77.09,33,0,8.05,clear sky
25,Hervey Bay,AU,-25.2986,152.8535,72.01,82,19,1.01,few clouds
26,Port Alfred,ZA,-33.5906,26.891,71.06,88,78,12.03,broken clouds
27,Meulaboh,ID,4.1363,96.1285,76.28,93,94,6.35,overcast clouds
28,Avarua,CK,-21.2078,-159.775,77.05,83,75,4.61,light rain
29,Tuktoyaktuk,CA,69.4541,-133.0374,-7.22,96,100,16.04,overcast clouds
30,Marrakesh,MA,31.6315,-8.0083,69.87,28,0,5.75,clear sky
31,Salinas,US,36.6777,-121.6555,55.83,67,90,17.27,overcast clouds
32,Castro,BR,-24.7911,-50.0119,77.88,44,94,5.41,overcast clouds
33,Chuy,UY,-33.6971,-53.4616,82.2,47,1,12.71,clear sky
34,Rybinsk,RU,58.0446,38.8426,22.87,94,97,8.48,overcast clouds
35,Mayo,US,38.8876,-76.5119,50.9,39,1,11.99,clear sky
36,Ribeira Grande,PT,38.5167,-28.7,57.6,54,40,16.11,scattered clouds
37,Bengkulu,ID,-3.8004,102.2655,75.61,90,100,3.89,light rain
38,Norman Wells,CA,65.282,-126.8329,-3.17,94,100,14.0,overcast clouds
39,Isangel,VU,-19.55,169.2667,79.54,89,100,8.28,overcast clouds
40,Dikson,RU,73.5069,80.5464,-18.9,94,68,12.06,broken clouds
41,Qaanaaq,GL,77.484,-69.3632,-4.02,68,56,3.33,broken clouds
42,Pacific Grove,US,36.6177,-121.9166,54.66,64,99,1.01,overcast clouds
43,Yar-Sale,RU,66.8333,70.8333,-9.72,100,89,5.17,overcast clouds
44,Shanhetun,CN,44.7,127.2,5.97,91,7,6.58,clear sky
45,Mar Del Plata,AR,-38.0023,-57.5575,71.87,85,100,10.0,overcast clouds
46,Bluff,NZ,-46.6,168.3333,47.8,85,51,2.08,broken clouds
47,Waingapu,ID,-9.6567,120.2641,80.28,83,79,2.68,broken clouds
48,Campbell River,CA,50.0163,-125.2446,40.44,97,60,4.92,broken clouds
49,Vila Velha,BR,-20.3297,-40.2925,85.95,76,40,15.99,scattered clouds
50,Krasnoselkup,RU,65.7,82.4667,-14.39,91,100,6.49,overcast clouds
51,Dingle,PH,10.9995,122.6711,75.15,94,81,7.49,broken clouds
52,Punta Arenas,CL,-53.15,-70.9167,51.91,32,75,23.02,broken clouds
53,Aquiraz,BR,-3.9014,-38.3911,91.22,55,48,13.71,scattered clouds
54,Fortuna,US,40.5982,-124.1573,50.94,74,40,1.99,light rain
55,Puerto Ayora,EC,-0.7393,-90.3518,80.56,93,99,5.99,overcast clouds
56,Cabedelo,BR,-6.9811,-34.8339,83.97,65,1,13.15,clear sky
57,Ilulissat,GL,69.2167,-51.1,17.62,73,75,1.14,broken clouds
58,Rikitea,PF,-23.1203,-134.9692,77.31,74,62,6.46,broken clouds
59,Talnakh,RU,69.4865,88.3972,-20.79,88,100,1.74,overcast clouds
60,Awjilah,LY,29.1081,21.2869,59.09,40,55,5.95,broken clouds
61,Hasaki,JP,35.7333,140.8333,46.8,62,47,12.75,scattered clouds
62,Albany,US,42.6001,-73.9662,44.58,41,9,1.99,clear sky
63,Tura,IN,25.5198,90.2201,57.31,68,3,4.16,clear sky
64,Carauari,BR,-4.8828,-66.8958,81.73,88,100,3.89,overcast clouds
65,Kapaa,US,22.0752,-159.319,75.52,80,20,1.01,few clouds
66,Torbay,CA,47.6666,-52.7314,57.76,93,100,37.22,light rain
67,Bredasdorp,ZA,-34.5322,20.0403,66.27,80,100,6.85,overcast clouds
68,Iqaluit,CA,63.7506,-68.5145,0.37,87,75,7.78,broken clouds
69,Isla Mujeres,MX,21.2311,-86.731,84.25,65,15,11.21,few clouds
70,Katangli,RU,51.7102,143.2326,11.43,99,98,6.38,overcast clouds
71,Luwuk,ID,-0.9516,122.7875,78.75,87,100,3.18,overcast clouds
72,Ancud,CL,-41.8697,-73.8203,59.43,64,74,12.93,broken clouds
73,Saskylakh,RU,71.9167,114.0833,-44.9,100,69,3.44,broken clouds
74,Rio Gallegos,AR,-51.6226,-69.2181,52.65,44,78,36.31,broken clouds
75,Bambous Virieux,MU,-20.3428,57.7575,77.22,69,96,16.17,overcast clouds
76,Mukhen,RU,48.1,136.1,12.04,95,100,6.26,light snow
77,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,94,14.67,light rain
78,Angoche,MZ,-16.2325,39.9086,81.27,77,4,13.91,clear sky
79,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.37,85,99,3.67,overcast clouds
80,Ylivieska,FI,64.0833,24.55,31.32,93,98,6.87,overcast clouds
81,Mount Gambier,AU,-37.8333,140.7667,65.35,35,46,8.68,scattered clouds
82,Northam,GB,51.0333,-4.2167,55.02,83,96,17.6,overcast clouds
83,Hami,CN,42.8,93.45,23.92,43,0,6.4,clear sky
84,Oksfjord,NO,70.2396,22.3479,32.18,97,100,4.14,light snow
85,Yellowknife,CA,62.456,-114.3525,10.42,92,100,10.0,overcast clouds
86,Secunda,ZA,-26.55,29.1667,62.33,92,100,5.01,overcast clouds
87,Santa Maria,BR,-29.6842,-53.8069,94.37,28,46,3.29,scattered clouds
88,Acajutla,SV,13.5928,-89.8275,86.47,58,11,9.26,few clouds
89,Zhangye,CN,38.9342,100.4517,24.4,36,0,7.14,clear sky
90,Samarai,PG,-10.6167,150.6667,81.77,81,100,12.62,overcast clouds
91,Rundu,NA,-17.9333,19.7667,69.31,76,99,5.41,overcast clouds
92,Cherskiy,RU,68.75,161.3,-42.86,100,54,2.17,broken clouds
93,Pechenga,RU,69.5259,31.1703,25.66,91,100,11.45,overcast clouds
94,Beira,MZ,-19.8436,34.8389,84.29,74,20,20.71,few clouds
95,Matara,LK,5.9485,80.5353,77.83,83,100,7.78,overcast clouds
96,Saint-Georges,GD,12.0564,-61.7485,80.78,79,100,14.0,overcast clouds
97,Leningradskiy,RU,69.3833,178.4167,-31.9,92,8,3.47,clear sky
98,Ixtapa,MX,20.7,-105.2,81.63,54,1,6.91,clear sky
99,Saint-Pierre,RE,-21.3393,55.4781,78.48,73,0,19.57,clear sky
100,Santa Cruz Cabralia,BR,-16.2781,-39.0247,82.63,69,20,17.27,few clouds
101,Ossora,RU,59.2353,163.0719,10.02,93,100,22.53,snow
102,Dzilam Gonzalez,MX,21.2833,-88.9333,88.0,47,22,5.46,few clouds
103,Kaitangata,NZ,-46.2817,169.8464,45.79,91,90,2.59,overcast clouds
104,Vanderhoof,CA,54.0166,-124.0198,21.76,77,100,1.77,overcast clouds
105,Tymovskoye,RU,50.8456,142.655,16.05,97,99,4.05,snow
106,Kodiak,US,57.79,-152.4072,9.91,56,40,23.02,scattered clouds
107,Hambantota,LK,6.1241,81.1185,79.59,78,100,14.61,overcast clouds
108,Tupik,RU,54.4253,119.9327,-2.83,98,100,2.06,overcast clouds
109,Saint-Francois,FR,46.4154,3.9054,44.67,87,90,2.3,overcast clouds
110,Chumikan,RU,54.7183,135.315,8.26,90,100,8.23,overcast clouds
111,Naze,JP,28.3667,129.4833,62.58,67,48,17.16,scattered clouds
112,Salinopolis,BR,-0.6136,-47.3561,85.57,66,54,13.56,broken clouds
113,Jingdezhen,CN,29.2947,117.2079,48.11,83,100,3.98,overcast clouds
114,Clyde River,CA,70.4692,-68.5914,-17.84,96,21,4.05,few clouds
115,Volodarsk,RU,56.2261,43.1861,6.82,92,77,5.28,broken clouds
116,Igarka,RU,67.4667,86.5833,-17.1,89,100,2.48,overcast clouds
117,Pop,UZ,40.8736,71.1089,36.09,33,18,2.91,few clouds
118,Orlik,RU,52.5178,99.825,-2.87,82,85,3.78,overcast clouds
119,Baykit,RU,61.67,96.37,-22.18,99,79,2.75,broken clouds
120,Katsuura,JP,35.1333,140.3,55.51,66,8,8.72,clear sky
121,Kandi,BJ,11.1342,2.9386,83.8,15,83,5.57,broken clouds
122,Nome,US,64.5011,-165.4064,-7.53,59,1,0.0,clear sky
123,Ambon,ID,-3.6954,128.1814,81.84,79,99,5.53,moderate rain
124,Victoria,HK,22.2855,114.1577,68.32,65,12,4.0,few clouds
125,Astoria,US,46.1879,-123.8313,43.86,90,90,3.0,moderate rain
126,Doctor Arroyo,MX,23.6667,-100.1833,63.75,51,62,11.97,broken clouds
127,Grindavik,IS,63.8424,-22.4338,41.47,87,75,24.16,broken clouds
128,East London,ZA,-33.0153,27.9116,71.26,93,58,5.21,moderate rain
129,Guerrero Negro,MX,27.9769,-114.0611,66.07,46,7,5.68,clear sky
130,Davila,PH,18.4726,120.5763,75.83,75,71,23.17,broken clouds
131,San Cristobal,VE,7.7669,-72.225,78.98,37,91,4.72,overcast clouds
132,Ponta Do Sol,PT,32.6667,-17.1,68.0,77,46,2.55,scattered clouds
133,Jamestown,US,42.097,-79.2353,43.72,50,31,14.0,scattered clouds
134,Naryan-Mar,RU,67.6713,53.087,19.38,96,100,7.2,overcast clouds
135,Waipawa,NZ,-41.4122,175.5153,54.23,94,100,7.54,overcast clouds
136,Rawson,AR,-43.3002,-65.1023,74.61,19,6,19.22,clear sky
137,Berdigestyakh,RU,62.0989,126.6992,-13.0,98,98,5.08,overcast clouds
138,Thompson,CA,55.7435,-97.8558,5.94,92,97,1.48,overcast clouds
139,Narsaq,GL,60.9167,-46.05,19.62,82,10,4.56,clear sky
140,Bay Roberts,CA,47.5999,-53.2648,58.51,93,100,17.0,moderate rain
141,Hermanus,ZA,-34.4187,19.2345,67.89,85,100,1.81,overcast clouds
142,Vardo,NO,70.3705,31.1107,28.38,86,75,10.36,broken clouds
143,Constitucion,CL,-35.3333,-72.4167,62.69,55,10,18.14,clear sky
144,Borba,BR,-4.3878,-59.5939,87.67,68,100,4.25,overcast clouds
145,Sindor,RU,62.8629,51.8905,11.53,85,86,6.96,overcast clouds
146,Souillac,MU,-20.5167,57.5167,77.36,71,91,14.58,overcast clouds
147,Mrakovo,RU,52.7161,56.6244,4.41,96,7,2.59,clear sky
148,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,75,82,21.43,broken clouds
149,Vestmanna,FO,62.1564,-7.1664,41.92,75,75,13.8,broken clouds
150,Padang,ID,-0.9492,100.3543,77.05,86,100,3.78,overcast clouds
151,Mehamn,NO,71.0357,27.8492,30.38,86,75,10.36,light snow
152,Butaritari,KI,3.0707,172.7902,82.08,74,98,18.01,overcast clouds
153,Pisco,PE,-13.7,-76.2167,73.45,68,40,9.22,scattered clouds
154,Palmer,US,42.1584,-72.3287,46.69,48,35,4.0,scattered clouds
155,Malartic,CA,48.1335,-78.1328,31.01,83,80,13.11,broken clouds
156,Saldanha,ZA,-33.0117,17.9442,63.45,90,100,14.41,overcast clouds
157,Eureka,US,40.8021,-124.1637,51.21,95,94,1.99,overcast clouds
158,Buenos Aires,AR,-34.6132,-58.3772,81.0,65,0,5.75,clear sky
159,Husavik,IS,66.0449,-17.3389,35.26,79,91,18.97,overcast clouds
160,Sardinata,CO,8.0829,-72.8007,85.68,58,95,5.48,overcast clouds
161,Hamilton,US,39.1834,-84.5333,48.88,50,39,4.0,scattered clouds
162,Bairiki,KI,1.3292,172.9752,81.57,71,100,17.6,overcast clouds
163,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.61,65,20,11.68,few clouds
164,Dhidhdhoo,MV,6.8833,73.1,82.38,74,86,9.24,overcast clouds
165,Atar,MR,20.5169,-13.0499,81.28,11,51,8.84,broken clouds
166,Brownsville,US,25.9018,-97.4975,66.94,71,90,5.99,overcast clouds
167,Port Elizabeth,ZA,-33.918,25.5701,72.1,91,87,9.78,overcast clouds
168,Chimay,BE,50.0486,4.3171,47.95,99,100,8.16,overcast clouds
169,Poum,NC,-20.2333,164.0167,77.99,84,100,15.14,overcast clouds
170,Sitka,US,57.0531,-135.33,33.69,80,90,3.44,light snow
171,Fort Nelson,CA,58.8053,-122.7002,-5.03,98,99,2.77,overcast clouds
172,Sinjar,IQ,36.3209,41.8754,53.42,28,29,2.28,scattered clouds
173,Cavalcante,BR,-13.7975,-47.4583,78.4,76,100,2.93,overcast clouds
174,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,18.41,light snow
175,Churachandpur,IN,24.3333,93.6667,48.18,87,0,1.92,clear sky
176,Lata,PT,40.1629,-8.3327,58.93,76,37,2.98,scattered clouds
177,Kahului,US,20.8947,-156.47,74.46,88,40,13.8,scattered clouds
178,Maldonado,UY,-34.6667,-54.9167,87.19,44,43,13.31,scattered clouds
179,Broome,US,42.2506,-75.833,45.21,47,1,5.99,clear sky
180,The Valley,AI,18.217,-63.0578,84.09,74,70,20.71,broken clouds
181,Bethel,US,41.3712,-73.414,47.19,38,1,5.99,clear sky
182,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,64,75,11.18,broken clouds
183,Sinnamary,GF,5.3833,-52.95,77.36,89,100,12.3,overcast clouds
184,Shumskiy,RU,54.8318,99.1328,19.83,95,100,5.14,light snow
185,Khandyga,RU,62.6667,135.6,-40.25,100,75,1.63,broken clouds
186,Marzuq,YE,14.4,46.4667,59.5,39,0,2.15,clear sky
187,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,62,0,11.5,clear sky
188,Pevek,RU,69.7008,170.3133,-33.95,96,28,1.77,scattered clouds
189,Jining,CN,35.405,116.5814,37.0,1,1,3.4,clear sky
190,Mujiayingzi,CN,42.1167,118.7833,16.05,40,0,8.12,clear sky
191,Tezu,IN,27.9167,96.1667,62.01,54,35,3.18,scattered clouds
192,New Norfolk,AU,-42.7826,147.0587,49.91,72,10,2.15,clear sky
193,College,US,64.8569,-147.8028,-7.8,69,90,0.0,light snow
194,Cairns,AU,-16.9167,145.7667,78.75,88,69,5.75,broken clouds
195,Kudus,ID,-6.8048,110.8405,76.41,92,70,3.0,broken clouds
196,Solnechnyy,RU,50.7214,136.6319,14.31,90,100,9.19,light snow
197,Egvekinot,RU,66.3167,-179.1667,-24.7,87,16,6.06,few clouds
198,Kupang,ID,-10.1667,123.5833,77.58,100,20,1.14,light rain
199,Sola,VU,-13.8833,167.55,82.29,78,100,16.04,light rain
200,Namatanai,PG,-3.6667,152.4333,79.32,83,100,2.66,overcast clouds
201,Paragould,US,36.0584,-90.4973,50.09,52,0,8.57,clear sky
202,Amazar,RU,53.858,120.875,-0.74,96,100,1.23,overcast clouds
203,Sierra Vista,US,31.5545,-110.3037,62.49,37,1,5.01,clear sky
204,Zhanakorgan,KZ,43.9098,67.2495,39.94,93,100,4.56,overcast clouds
205,Sampit,ID,-2.5333,112.95,74.7,98,100,2.57,overcast clouds
206,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,67,40,27.04,scattered clouds
207,Gusau,NG,12.1628,6.6614,80.71,15,40,8.61,scattered clouds
208,Olafsvik,IS,64.8945,-23.7142,41.41,92,100,17.13,overcast clouds
209,Manta,EC,-0.95,-80.7333,76.78,83,90,3.44,light rain
210,Juneau,US,58.3019,-134.4197,27.21,95,100,8.1,light snow
211,Oranjemund,NA,-28.55,16.4333,63.63,85,3,11.7,clear sky
212,Preeceville,CA,51.95,-102.6677,19.4,93,84,6.02,broken clouds
213,Severo-Kurilsk,RU,50.6789,156.125,33.03,96,100,13.73,light snow
214,Iquique,CL,-20.2208,-70.1431,69.84,75,51,7.56,broken clouds
215,Lavrentiya,RU,65.5833,-171.0,-13.09,83,2,4.63,clear sky
216,Bani Walid,LY,31.7566,13.9942,53.1,58,19,11.27,few clouds
217,Srednekolymsk,RU,67.45,153.6833,-43.53,99,97,3.42,overcast clouds
218,Malakal,SS,9.5334,31.6605,83.5,23,78,5.75,broken clouds
219,Marsa Matruh,EG,31.3525,27.2453,63.21,34,100,3.49,overcast clouds
220,Agadez,NE,19.75,10.25,66.51,10,7,6.6,clear sky
221,Bukama,CD,-9.2,25.85,68.99,97,99,0.6,moderate rain
222,Pudozh,RU,61.8099,36.5345,16.12,96,100,5.61,light snow
223,Sungaipenuh,ID,-2.0833,101.3833,64.72,97,100,2.62,moderate rain
224,Sosnovo-Ozerskoye,RU,52.5249,111.5418,7.93,85,100,12.06,overcast clouds
225,Zhoucun,CN,36.8167,117.8167,29.26,41,0,2.95,clear sky
226,Aden,YE,12.7794,45.0367,79.29,64,0,15.1,clear sky
227,Sugar Land,US,29.6197,-95.6349,59.29,51,1,0.0,clear sky
228,Cootamundra,AU,-34.65,148.0333,55.94,82,0,5.95,clear sky
229,Sao Filipe,CV,14.8961,-24.4956,75.65,69,20,9.95,few clouds
